"Common/ButtonExit","ZAVŘÍT"
"Port/Missions/DailyPatrol/ClaimMessage","Are you sure that you want to claim the rewards for the Patrol?
This will finish the quest and you will be able to repeat it only after maintenance."
"Port/Missions/DailyPatrol/TakeMessage","Are you sure want to take {0}?"
"Port/Missions/ClaimButton","Claim"
"Port/Missions/CancelButton","Cancel"
"Port/Missions/TakeButton","Take"
"Port/Missions/Error/NotEnoughDamage","Need atleast {0} damage, your damage {1}"
"Port/Missions/Error/NoActivePatrols","You dont have any active patrols"
"Port/Missions/Hostility/Title","Order Received"
"Port/Missions/Hostility/Message","Search and destroy near {0}."
"Port/Missions/Error/NotInPortForQuest","You need to be in port to take quest"
"Port/Missions/Error/TooManyQuests","You can't take more quests"
"Port/Missions/Error/NotInPortForOrder","You need to be in port to take order"
"Port/Missions/Error/OnlyForClanMembers","Only clan players can take hostility orders"
"Port/Missions/Error/NotYourNationalPort","You can take hostility missions only in your nation ports"
"Port/Missions/Error/HostilityUnavailableInPort","You can't take hostility missions on this port"
"Port/Missions/Error/HostilityUnavailableAgainstNation","You cant take hostility missions against this nation"
"Port/Missions/Error/HostilityUnavailableAgainstOwnNation","You can't take hostility mission on own nation port"
"Port/Missions/Error/CantGainHostility","This port can't gain hostility"
"Port/Missions/Error/AlreadyTookOrder","Can't take this order - you have another one in this area"
"Port/Missions/Error/HostilityCancelationLimitReached","Admiralty only allows {0} order cancellations per day. Limit is reset daily during maintenance. Please finish current missions OR wait until next maintenance to cancel your current missions"
"Port/Missions/Hostility/CancelTitle","Are you sure?"
"Port/Missions/Hostility/CancelMessage","Are you sure want to abandon combat?"
"Port/Missions/Error/UnknownOrder","Unknown order"
"Port/Missions/Claiming/RewardSentToMoneyChest","Rewards will be sent to the Money Chest"
"Port/Missions/Claiming/RewardSentToMoneyChestAndWarehouse","Rewards will be sent to the Skladiště and Money Chest"
"Port/Missions/Error/NoSpaceInWarehouse","No space in the Skladiště"
"Port/Missions/Error/NoSpaceInShip","No free space in the Main ship Nákladový prostor"
"Port/Missions/Error/ShipWillBeOverloaded","Your Main ship will be overloaded"
"Port/Missions/Claiming/RewardSentToMoneyChestAndShip","Rewards will be sent to the Main ship Nákladový prostor and Money Chest"
"Port/Missions/Error/YouNeedWarehouseOrShip","To claim reward you need to have Skladiště or the Main ship Nákladový prostor"
"Port/Missions/Error/ClaimingFailed","Couldn't claim reward"
"Port/Missions/Error/ClaimingAvailableInFriendlyPorts","You can claim rewards only in friendly ports"
"Port/Missions/Quest/AbandonTitle","Are you sure?"
"Port/Missions/Quest/AbandonMessage","Are you sure want to abandon quest?"
"Port/Missions/Quest/TakeTitle","Are you sure?"
"Port/Missions/Quest/TakeMessage","Are you sure you want to take this mission?"
"Port/Missions/Error/QuestAlreadyTaken","This quest is already taken today"
"Port/Missions/Error/QuestsLimitReached","You can't take more quest"
"Port/Missions/Error/QuestNotFound","There is no such quest"
"Port/Missions/Error/CouldntGenerateQuest","Couldn't generate quest"
"Port/TechnicalInfo/OnlineCounterLabel","Online:"
"Port/TechnicalInfo/BattlesCounterLabel","Battles:"
"Port/PortProductionPanel/Capital","Capital"
"Port/PortProductionPanel/CountyCapital","County Capital"
"Port/PortProductionPanel/PortTypeLabel","Port Type"
"Port/PortProductionPanel/DepthLabel","Depth"
"Port/PortProductionPanel/DeepWaterDepth","Deep water"
"Port/PortProductionPanel/ShallowWaterDepth","Shallow water"
"Port/PortProductionPanel/RegionLabel","Region"
"Port/PortProductionPanel/CountyLabel","County"
"Port/PortProductionPanel/PortBattleBRLimit","Port battle BR limit"
"Port/PortProductionPanel/PortBattleLabel","Port battle"
"Port/PortProductionPanel/CantGainHostilityLabel","Can't gain hostility till"
"Port/PortProductionPanel/CapturerLabel","Capturer"
"Port/PortProductionPanel/EntryRightsLabel","Entry rights"
"Port/PortProductionPanel/AvailableForAllLabel","Available for all"
"Port/PortProductionPanel/DailyTaxesLabel","Taxes / daily tax"
"Port/PortProductionPanel/TaxesLabel","Taxes"
"Port/PortProductionPanel/PortBattleWindowLabel","Port battle window"
"Port/PortProductionPanel/ProducesLabel","Produces"
"Port/PortProductionPanel/ConsumesLabel","Consumes"
"Port/PlayerInfoPanel/NotInClanLabel","Not in clan"
"Port/PlayerInfoPanel/ClanTag","Clan [{0}]"
"Port/PlayerInfoPanel/LeadershipLabel","Leadership"
"Port/PlayerInfoPanel/NextRankLabel","Next rank"
"Port/PlayerInfoPanel/XpToNextRankLabel","XP to next rank"
"Port/PlayerInfoPanel/CraftLevelLabel","Craft level"
"Port/PlayerInfoPanel/LaborHoursLabel","Labor hours"
"Port/PlayerInfoPanel/CoinsLabel","Coins"
"Port/AdmiraltyWindow/TabAll","All"
"Port/AdmiraltyWindow/TabPveExchage","PVE Exchange"
"Port/AdmiraltyWindow/TabPermits","Permits"
"Port/AdmiraltyWindow/TabModules","Modules"
"Port/AdmiraltyWindow/TabBooks","Knihy"
"Port/AdmiraltyWindow/TabExchange","Exchange"
"Port/AdmiraltyWindow/TabBlueprints","Blueprints"
"Port/AdmiraltyWindow/TabPvpRewards","PVP Rewards"
"Port/AdmiraltyWindow/TitleAdmiralty","Admiralty"
"Port/AdmiraltyWindow/TitlePirateDen","Pirate Den"
"Port/AdmiraltyWindow/TitleError","Error"
"Port/AdmiraltyWindow/NotEnoughSpaceMessage","Not enough space in Skladiště"
"Port/AdmiraltyWindow/TitleAreYouSure","Are you sure?"
"Port/AdmiraltyWindow/BuyMessage","Are you sure want to buy {0}x {1} for {2}x {3}?"
"Port/AdmiraltyWindow/BuySuccess","Bought {0}x {1} for {2}x {3}"
"Port/NotEnoughResourcesMessage","Not enough {0}"
"Port/AdmiraltyWindow/BuySuccessTitle","Success"
"Port/AdmiraltyWindow/BuyErrorTitle","Error"
"Port/ShipsAuctionWindow/Title","Put on sale?"
"Port/ShipsAuctionWindow/TitleShort","Ships Auction"
"Port/ShipsAuctionWindow/ShipWasSoldMessage","You received {0} {1} from selling {2} which was sold at {3}. Ship was sold to {4}"
"Port/ShipsAuctionWindow/ShipWasSoldTitle","Your ship was sold"
"Port/ShipsAuctionWindow/UnableToBuyShipSpace","Unable to buy ship - not enough space in docks"
"Port/ShipsAuctionWindow/UnableToBuyShip","Unable to buy ship"
"Port/ShipsAuctionWindow/CantBuyOwnShipMessage","You can't buy own ship"
"Port/ShipsAuctionWindow/NotEnoughMoneyMessage","You don't have enough {0}"
"Port/ShipsAuctionWindow/ShipSoldOutMessage","Ship is already sold out"
"Port/ShipsAuctionWindow/RefuseBuyingMessage","To buy ship in port without outpost you need to get rid of your current ship"
"Port/ShipsAuctionWindow/TabAll","All"
"Port/ShipsAuctionWindow/TabRate","Rank {0}"
"Port/ShipsAuctionItem/Buy","Buy?"
"Port/ShipsAuctionItem/BuyMessage","Are you sure that you want to buy {0} for {1}?
Also you will pay tax {2} {3}. Final price {4} {5}."
"Port/ShipsAuctionItem/CheckNavyMessage","Check your navy"
"Port/ShopWindow/YourContractsButton","Your contracts"
"Port/ShopWindow/PlaceContractButton","Place contract"
"Port/ShopWindow/Title","{0} shop"
"Port/ShopWindow/CantFindItemMessage","Unable to find specified item template"
"Port/ShopWindow/ItemCantBeSold","This item can not be sold"
"Port/ShopWindow/UnableToSellLess","Unable to sell less than 1 item"
"Port/ShopWindow/CanBeSoldOnlybyContract","This item can be sold only by contract and there is no contracts for it in this port"
"Port/ShopWindow/CantSoldMoreThan","You can't sell more than {0} at once"
"Port/ShopWindow/WrongPrice","Item at this price is not available anymore"
"Port/ShopWindow/UnableToSell","Unable to sell"
"Port/ShopWindow/SuccessSell","Sold {0}x {1} for {2} {3}"
"Port/ShopWindow/ContractFulfilledTititle","Contract fulfilled"
"Port/ShopWindow/ContractFulfilledMessage","Your contract for {0} {1} fulfilled"
"Port/ShopWindow/TradingTitle","Trading"
"Port/ShopWindow/UnableToBuyLess","Unable to buy less than 1 item"
"Port/ShopWindow/ItemNotAvailable","Item is not available in shop"
"Port/ShopWindow/SuccessBuy","Bought {0}x {1} for {2} {3}"
"Port/AdmiraltyWindow/NotEnoughResourcesMessage","Not enough {0}"
"Port/Craft/Error/NotInPort","You can't do this operation while not in port"
"Port/Craft/Error/InEnemyPort","Can't craft in the enemy port"
"Port/Craft/Error/CanBeBrokeOnlyIn","Item can be breaked only in {0}"
"Port/Craft/Error/CantBeBrokenInUpgradeSlot","Item can't be breaked in upgrade slot"
"Port/Craft/Error/CantBeBrokenInPermanentSlot","Item can't be breaked in permanent slot"
"Port/Craft/Error/NoSpaceInWarehouse","Not enough space in Skladiště"
"Port/InventoryItem/BreakUpButton","Break up"
"Port/InventoryItem/BreakUp/Title","Break up item?"
"Port/InventoryItem/BreakUp/Message","Are you sure that you want to break up {0}?"
"Port/InventoryItem/BreakUp/Succeed","You broke {0} and received:
{0}"
"Port/InventoryItem/UseButton","Use"
"Port/InventoryItem/Use/Title","Use item?"
"Port/InventoryItem/Use/Message","Are you sure that you want to use {0}?"
"Port/InventoryItem/Error/Failed","Failed"
"Port/InventoryItem/Error/ItemNotFound","Unable to use item - item not found"
"Port/InventoryItem/Error/CantUseWhileSailing","This item can't be used while sailing"
"Port/InventoryItem/Error/CantUseInPort","This item can't be used in port"
"Port/InventoryItem/Error/ContainerNotFound","Unable to use item - container not found"
"Port/InventoryItem/Error/ToManyLaborHours","You need to have less than {0} labor hours to use this item."
"Port/InventoryItem/Error/BlueprintAlreadyKnown","Blueprint already known"
"Port/InventoryItem/Error/KnowledgeAlreadyKnown","You already learned this knowledge"
"Port/InventoryItem/ConvertButton","Convert"
"Port/InventoryItem/Convert/Title","Convert item?"
"Port/InventoryItem/Convert/Message","Are you sure that you want to convert {0}?"
"Port/InventoryItem/ConvertShip/Title","Select ship options"
"Port/InventoryItem/ConvertShip/Message","Select wood and trim type for ship"
"Port/InventoryItem/Error/NoSpace","Not enough space"
"Port/InventoryItem/Error/NothingToConvertTo","Nothing to covert to."
"Port/InventoryItem/Error/ItemCanBeConvertedOnlyIn","Item can be converted only in {0}"
"Port/InventoryItem/Error/CantAddShipToTempOutpost","Can't add ship to temporary outpost"
"Port/InventoryItem/Error/NoShipContainerFound","No ship container found in current port"
"Port/InventoryItem/Error/NoShipSlots","Not enough ship slots to add ship"
"Port/InventoryItem/Error/UnableToAddShipToContainer","Unable to add ship to ships container"
"Port/InventoryItem/Error/ItemIsNotShip","Created item is not a ship"
"Port/InventoryItem/Error/ItemIsNotShipTemplate","Item is not a ship template"
"Port/InventoryItem/Error/CantConvertItemsInInstance","Can't convert items in instance"
"Port/InventoryItem/Error/ItemExpired","Item expired."
"Port/InventoryItem/Error/ItemCanBeOpenedOnlyIn","Item can be opened only in {0}"
"Port/InventoryItem/ConvertFishButton","Convert this fish"
"Port/InventoryItem/ConvertFish/Title","Convert item?"
"Port/InventoryItem/ConvertFish/Message","Are you sure that you want to convert {0}?"
"Port/InventoryItem/ConvertAllFishButton","Convert all fish"
"Port/InventoryItem/ConvertAllFish/Title","Convert all items?"
"Port/InventoryItem/ConvertAllFish/Message","Are you sure that you want to convert all items?"
"Port/InventoryItem/OpenButton","Open"
"Port/InventoryItem/Open/Title","Open item?"
"Port/InventoryItem/Open/Message","Are you sure that you want to open {0}?"
"Port/InventoryItem/SplitButton","Split"
"Port/InventoryItem/Split/Title","Split Item"
"Port/InventoryItem/Split/Message","Split {0}."
"Port/InventoryItem/Split/NewStackWeight","New stack weight: {0}"
"Port/InventoryItem/ChangeNationButton","Change Nation"
"Port/InventoryItem/ApplyExtraSlotsButton","Apply Extra Slots"
"Port/InventoryItem/ApplyExtraFlagsButton","Apply Extra Flags"
"Port/InventoryItem/DestroyButton","Destroy"
"Port/InventoryItem/Destroy/Title","Destroy item?"
"Port/InventoryItem/Destroy/Message","Are you sure that you want to destroy {0}?"
"Port/InventoryItem/Destroy/ProcessingTitle","Destroying Item"
"Port/InventoryItem/Destroy/ProcessingMessage","Captain we are still throwing other stuff overboard.
Please wait {0} seconds Sir."
"Port/InventoryItem/Destroy/FailedTitle","Destroy item"
"Port/InventoryItem/Destroy/FailedMessage","Nemůžete zničit {0}"
"Port/InventoryItem/SendToWarehouseButton","Poslat do skladiště"
"Port/InventoryItem/SendToHoldButton","Send to Nákladový prostor"
"Port/InventoryItem/SendToChatButton","Send to chat"
"Port/InventoryItem/SendToClanWarehouseButton","Send to klanové skladiště"
"Port/InventoryItem/SendToClanWarehouse/Title","Send item?"
"Port/InventoryItem/SendToClanWarehouse/Message","Are you sure that you want to send {0} {1} to klanové skladiště?"
"Port/InventoryItem/Has/Upgrades","{0} upgrade(s)"
"Port/InventoryItem/Has/NoUpgrades","no upgrades"
"Port/InventoryItem/Has/Cannons","{0} cannon(s)"
"Port/InventoryItem/Has/NoCannons","no cannons"
"Port/InventoryItem/Has/Items","{0} item(s)"
"Port/InventoryItem/Has/NoItems","no items"
"Port/Clan/Error/NotInPortToAccessWarehouse","Player needs to be in port to access klanové skladiště"
"Port/Clan/Error/PlayerNotInClan","Player is not in clan"
"Port/Clan/Error/CantFindClan","Unable to find clan"
"Port/Clan/Error/PlayerNotMemberOfClan","Player is not a member of that clan"
"Port/Clan/Error/PlayerNotAllowedToDepositItems","Player is not allowed to deposit items"
"Port/Clan/Error/PlayerNotAllowedToWithdraw","Player is not allowed to withdraw {0}"
"Port/Clan/Error/ShipItemsCanBeDepositOnlyFromHold","Ship items can be deposit only from Nákladový prostor"
"Port/Clan/Error/DepositOfThisItemIsNotAllowed","Deposit of this item is not allowed"
"Port/Clan/Error/ClanDontHaveWarehouse","Your clan doesn't have klanové skladiště"
"Port/Clan/Error/ClanWarehouseInOtherPort","klanové skladiště located in other port"
"Port/Clan/Error/ClanWarehouseFull","klanové skladiště is full"
"Port/Craft/Error/NoSpaceInShip","Not enough space in ship"
"Port/Craft/Error/ShipWillBeOverloaded","Ship will be overloaded"
"Port/Craft/Error/FleetShipIsNotActive","Fleet ship is not active, can't put item in it"
"Port/Craft/CollectButton","Collect"
"Port/Craft/Collect/YouCollected","You collected:
{0}"
"Port/Craft/Collect/Processing","Collecting.."
"Port/Craft/Error/ResourceNotProducedInPort","Resource is not produced in this port"
"Port/Craft/Error/NotEnoughResourcesInBuilding","Building doesn't have enough surovin"
"Port/Craft/Error/NotEnoughResource","Not enough {0}"
"Port/Craft/CraftButton","Craft"
"Port/Craft/YouCrafted","You crafted:
{0}"
"Port/Craft/ProcessingMessage","Crafting.."
"Port/Craft/Error/CraftLevelTooLow","Craft level too low to craft that quality level"
"Port/Craft/Ship/FetchingInfo","Fetching info..."
"Port/Craft/Ship/Crafted","Crafted {0}"
"Port/Craft/Ship/AlsoCrafted","You also crafted:
{0}"
"Port/Craft/Title","Craft"
"Port/Craft/Error/NoSpaceInDocks","Not enough space in docks"
"Port/Craft/Error/UnknownTrimType","Unknown trim type"
"Port/Craft/Error/NeedOneWarehouseSlotToCraftShip","You need at least one empty slot in warehouse to craft ship"
"Port/Craft/CraftLevel","Craft level {0}"
"Port/Craft/CraftXPToNextLevel","{0}/{1} craft XP to next level"
"Port/Craft/LaborHoursAvailable","{0} labor hours available"
"Port/Craft/SlotsDescription","Permanent upgrade slots: {0}
Upgrade slots: {1}"
"Port/Craft/Level","Level: {0}"
"Port/Craft/Available","Available: {0}/{1}"
"Port/Craft/ResourceNotProducedInPort","{0} is not produced in this port"
"Port/Craft/LaborHours","{0} labor hour(s)"
"Port/Buildings/Error/Title","Error"
"Port/Buildings/Error/NoOutpost","You need to have outpost to build buildings"
"Port/Buildings/Build/Message","Are you sure that you want to build {0}?"
"Port/Buildings/Error/NotInPort","You can't do this operation while not in port"
"Port/Buildings/Error/CantBuildMore","You can't build more buildings"
"Port/Buildings/Error/CantFindBuilding","Unable to find building"
"Port/Buildings/Error/CantBuildInFreeTown","You can't build this building in Free Town"
"Port/Buildings/Error/AlreadyExists","You already has this building in current port"
"Port/Buildings/ProductionPerDay","Production per day:"
"Port/Buildings/Level","Level: {0}"
"Port/EconomyPanel/EmptySlot","Empty Plot"
"Port/Outposts/All","All"
"Port/Buildings/Destroy/Message","Are you sure that you want to close it? <color=red>All building upgrades will be lost</color>"
"Port/Buildings/Error/MaxLevelAlready","Building is already at max level"
"Port/Buildings/Error/NotInSpecifiedPort","You need to be in a specified port to upgrade building"
"Port/Buildings/Error/NotInThisPort","You need to be in {0} to upgrade this building"
"Port/Buildings/Upgrade/Message","Upgrade {0} to Lv. {1}?"
"Port/Buildings/Upgrade/Produces","Produces {0} of {1} per day, storage size: {2}"
"Port/Buildings/Upgrade/LaborDiscount","{0}% labor discount

Requirements:"
"Port/Craft/Error/NoRequiredBuilding","You don't have required building"
"Port/Craft/Error/AmountIsToLow","Množství is too low"
"Port/Craft/Error/NotEnoughLaborHours","Not enough labor hours"
"Port/Craft/Error/NotInPortWithOutpost","Crafting available only in ports with outpost"
